Model,ROC-AUC,PR-AUC,CV Mean,CV Std
Random Forest,0.8958909786231434,0.7109833696689238,0.9008710515772315,0.012111515057840364
Gradient Boosting,0.9077012331208081,0.7257382884143181,0.9080445319378168,0.013638173601646528
Logistic Regression,0.8792086241497505,0.6448337484489329,0.881751386170559,0.016126975116264486
Neural Network,0.8690725250264917,0.656762064693787,0.8690363919105696,0.012843965583517405
